Mes;Nom mes;Any;Nom_RP;Codi_RP;Nom_ABP;Títol Codi Penal;Tipus de fet;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l’honor;Injúria;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l’honor;Calúmnia;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat;Amenaces;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat;Coaccions;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Dels delictes contra la seguretat col·lectiva;Incendi;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;De l’homicidi i les seves formes;Homicidi per imprudència;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;De les falsedats;De la usurpació de l'estat civil;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;De les falsedats;Falsedats documentals;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;De les falsedats;Usurpació de funcions públiques i intrusisme;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;De les lesions;Lesions;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat;Amenaces;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat;Coaccions;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà - Roses;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;De les falsedats;De la usurpació de l'estat civil;;;;;;;;
